append,bad,count,good,id,images,info_list,medium,percent,videos
(2.8万+),(8600+),(200万+),(79万+),100017981386,(500),"外观漂亮(1197),安装成功(931),美观大方(789),制冷给力(692),超级省电(680),声音很轻(251),工艺精美(185),非常好用(172),保修期长(108),易于操控(90),耐用性佳(77),风大马力足(73),家用适合(26)",(3600+),98,(7600+)
(2.8万+),(8600+),(200万+),(79万+),100019386658,(500),"送货安装(2550),超级省电(1634),制冷给力(1360),外观漂亮(1210),美观大方(1091),超强静音(459),工艺精美(196),非常好用(196),保修期长(169),节能环保(138),使用舒适(129),耐用性佳(96),多快好省(26)",(3600+),98,(7600+)
(400+),(200+),(2万+),(1万+),10027424682503,(500),"外观漂亮(181),美观大方(135),送货安装(106),超级省电(100),制冷给力(91),不占空间(35),声音很轻(27),风大马力足(22),非常好用(21),美观大气(15),使用舒适(8),保修期长(5)",(70+),97,(200+)
(2.8万+),(8600+),(200万+),(79万+),100019386660,(500),"送货安装(4207),超级省电(2615),制冷给力(2307),外观漂亮(1965),美观大方(1882),声音很轻(804),非常好用(422),美观大气(301),保修期长(291),使用舒适(212),风大马力足(192),节能环保(191),省时便捷(66)",(3600+),98,(7600+)
(2.8万+),(8600+),(200万+),(79万+),100015491508,(500),"送货安装(1413),超级省电(624),制冷给力(598),外观漂亮(538),美观大方(503),使用舒适(245),声音很轻(215),颜色漂亮(145),保修期长(129),非常好用(115),反应迅速(49),耐用性佳(47),口碑很好(17)",(3600+),98,(7600+)
(1100+),(600+),(10万+),(2.8万+),10027459157145,(500),"送货安装(389),超级省电(231),制冷给力(200),外观漂亮(171),美观大方(161),声音很轻(82),非常好用(36),保修期长(23),风大马力足(21),美观大气(20),易于操控(17),节能环保(16),夏季必备(5)",(200+),96,(300+)
(80+),(20+),(2000+),(2800+),10106871251,(500),"送货安装(11),制冷给力(6),超级省电(4),声音很轻(3),清洁能力强(2),方便省事(1)",(10+),98,(40+)
(6300+),(1700+),(20万+),(16万+),100010607429,(500),"外观漂亮(1096),美观大方(806),送货安装(743),超级省电(711),制冷给力(658),不占空间(194),声音很轻(179),使用舒适(171),尺寸适宜(132),风大马力足(114),非常好用(95),保修期长(54),多快好省(15)",(600+),98,(2700+)
(600+),(200+),(5万+),(1.6万+),10021947357318,(500),"送货安装(82),制冷给力(60),美观大方(49),超级省电(46),外观漂亮(29),超强静音(25),非常好用(18),加热效果好(11),保修期长(10),使用舒适(8),设计合理(6),耐用性佳(5),家用适合(2)",(90+),97,(100+)
(800+),(300+),(5万+),(2万+),10027456694039,(500),"送货安装(179),超级省电(168),制冷给力(135),外观漂亮(124),美观大方(112),超强静音(61),非常好用(22),尺寸适宜(21),保修期长(17),使用舒适(12),风大马力足(9),组装便捷(8),多快好省(4)",(100+),97,(200+)
(6300+),(1700+),(20万+),(16万+),100037374266,(500),"外观漂亮(42),制冷给力(37),送货安装(32),美观大方(24),超级省电(16),不占空间(10),声音很轻(7),美观大气(6),风大马力足(4),保修期长(4),非常好用(3),自带插头(1),可无线控制(1)",(600+),98,(2700+)
(300+),(100+),(2万+),(7700+),10026501649845,(500),"美观大方(46),外观漂亮(45),制冷给力(29),送货安装(29),超级省电(20),不占空间(9),声音很轻(8),风大马力足(6),造型精美(5),保修期长(4),非常好用(4),保护开关(2),配件齐全(1)",(30+),97,(100+)
